0,1,2,3
5086.5,4986.0,5134.5,5045.0
4470.0,4532.5,4623.0,4585.5
4618.5,4698.5,4742.0,4782.5
4905.0,4844.5,4951.5,4998.5
6390.5,6447.5,6491.0,10249.5
4219.5,4272.0,4326.5,4368.5
4443.0,4493.5,4582.0,4546.0
5306.0,5117.0,5265.5,5210.0
4610.5,4673.5,4761.0,4719.5
4810.0,4865.0,4957.0,4903.5
4678.5,4557.0,4730.5,4638.0
7410.0,7316.5,7450.0,7367.0
6125.0,6179.5,6270.5,6218.5
5052.5,5109.5,5205.5,5162.5
5065.0,4967.0,5025.5,5108.0
4589.5,4449.0,4499.5,4553.5
5160.0,5305.5,5261.5,5211.0
20594.5,8935.0,13988.5,14313.5
5502.0,5592.5,5450.5,5552.5
4510.0,4566.5,4613.5,4651.0
5040.5,4885.5,4992.5,4949.0
4540.5,4377.0,4494.0,4426.0
7464.5,7366.0,7426.0,11384.5
4212.5,4260.0,4302.0,4361.0
4705.5,4768.0,4812.0,4853.5
4572.5,4619.0,4664.5,4713.0
4404.0,4459.5,4552.5,4501.5
4978.0,4838.0,4939.5,4898.5
4509.0,4569.5,4608.5,4651.5
13853.0,5241.5,18513.5,13810.0
609184.5,23657.0,27298.0,50892.5
12390.5,12449.0,12537.0,12490.5
4346.0,4243.5,4304.0,4384.0
21098.0,21162.5,21256.0,21210.0
4034.0,4084.0,4174.5,4132.0
5018.5,4955.0,5107.0,5057.5
4725.0,4665.0,4769.5,4818.5
4501.5,4557.5,4647.0,4597.5
7566.0,7608.0,7655.5,7516.0
5177.5,5240.5,5280.0,5321.0
27962.0,15838.5,21136.5,23930.0
5021.5,5071.5,5165.5,5119.5
4646.5,4749.0,4792.5,4701.5
4822.0,4877.5,5012.0,4972.0
4843.5,4901.0,4946.5,4990.5
4189.0,4250.0,4335.5,4296.0
4916.0,4961.5,5013.5,5049.5
10788.0,10839.5,10930.0,10889.5
11091.0,11148.0,11198.5,11244.5
4576.0,4635.0,4729.5,4678.5
25394.0,28731.0,28685.5,17299.0
4464.5,4521.0,4633.0,4561.5
4940.0,4790.5,4884.5,4843.0
5403.5,5348.5,5451.5,5501.5
