0,1,2,3
-1714813108801571.0,-1714813108801841.5,-1714813108804253.0,-1714813108809507.5
-1714813108801425.0,-1714813108801746.0,-1714813108803921.0,-1714813108809393.5
-1714813108798825.0,-1714813108801807.0,-1714813108801331.0,-1714813108809477.5
-1714813108801896.0,-1714813108802012.0,-1714813108804446.0,-1714813108809670.5
-1714813108800083.5,-1714813108800470.5,-1714813108801776.5,-1714813108808422.5
-1714813108801682.5,-1714813108801988.5,-1714813108804194.5,-1714813108809648.5
-1714813108802294.5,-1714813108802577.5,-1714813108804759.5,-1714813108810333.5
-1714813108801115.5,-1714813108801586.5,-1714813108803692.5,-1714813108809402.0
-1714813108798117.0,-1714813108798267.5,-1714813108800091.0,-1714813108805993.0
-1714813108801082.0,-1714813108801236.5,-1714813108808419.0,-1714813108808863.0
-1714813108801725.5,-1714813108801779.5,-1714813108804130.5,-1714813108809599.5
-1714813108801363.5,-1714813108801693.5,-1714813108803766.0,-1714813108809452.5
-1714813108801837.5,-1714813108802108.0,-1714813108804303.0,-1714813108809740.5
-1714813108800990.5,-1714813108801866.0,-1714813108803717.0,-1714813108809470.0
-1714813108801643.5,-1714813108801970.5,-1714813108804241.0,-1714813108809719.0
-1714813108801406.0,-1714813108801606.0,-1714813108803959.5,-1714813108809156.0
-1714813108800401.0,-1714813108801289.0,-1714813108802871.5,-1714813108809165.0
-1714813108798932.0,-1714813108799289.0,-1714813108801339.0,-1714813108806863.5
-1714813108801785.5,-1714813108802157.5,-1714813108804262.0,-1714813108809823.0
-1714813108801487.5,-1714813108801559.5,-1714813108804050.0,-1714813108809405.0
-1714813108801928.0,-1714813108802086.5,-1714813108804462.5,-1714813108809971.0
